EarlyAccess;ReviewText;Review;ReviewLength;PlayHours;DatePosted
;you will go insane;Not Recommended;15;215.9;
;probably the best fighting game if it was judged without bias;Recommended;51;517.4;
;I love this game, sometimes when im sad i play this game and it makes my sad gone now that i am mad.;Recommended;78;229.8;
;w game fr, got ruined by battle boots, boots got nerfed a lil, still a w game.;Recommended;62;3.0;
;good;Recommended;4;1.5;
;good.;Recommended;5;2184.1;
;GAME ITSELF IS FUN CAN GET ANNOYING IN RANKED BBUT OVERALL A GOOD GAME;Recommended;57;29.6;
;This game is quite fun as a casual player. At times it does glitch, but the easiest solution is to restart the game.;Recommended;94;12.5;
;dlight=down syndrome;Not Recommended;19;104.0;
;.;Recommended;1;88.1;
;BC ITS BEAUTIFUL;Recommended;14;40.8;
;this game give me aids;Recommended;18;422.0;
;fun;Recommended;3;28.3;
;goooooood;Recommended;9;79.7;
;bangin game;Recommended;10;279.2;
;yyyy;Recommended;4;341.7;
;really addictive;Recommended;15;415.4;
;hard on pc no cappp;Recommended;15;11.8;
;funny roland;Recommended;11;125.7;
;it;Not Recommended;2;152.5;
;funpretty much smash bros for pc;Recommended;27;5.2;
;this is the only game to truly make me crashout i ♥♥♥♥♥♥♥ hate this ♥♥♥♥♥♥♥ ghame;Not Recommended;66;105.8;
;Ball;Recommended;4;288.6;
;rayman;Recommended;6;25.1;
;Mid game.;Not Recommended;8;10.8;
;this game makes me wanna kms;Not Recommended;23;321.9;
;you have to have a Intellectual disability to make a game this bad;Recommended;54;1.7;
;OMG NERF がいぃないひつようです！！！OMG わばかだよ;Not Recommended;29;18.0;
;Mid;Not Recommended;3;1063.4;
;See if u can beat me;Recommended;15;851.7;
;SKBD TOYLET GAME;Recommended;14;59.0;
;Very good game, I love annoying toxic players with love <3;Recommended;48;928.3;
;i like it:);Recommended;9;44.6;
;this game makes me wanna kms;Not Recommended;23;40.2;
;so ez;Recommended;4;10.9;
;♥♥♥♥ this game;Not Recommended;12;31.7;
;This game is one of those game you keep installed and play with your friends when you get bored or tired of grinding something else. Great for messing around in privates and casual. But if you want to actually get good get ready to grind for the good characters and spend hours in training learning combos, it’s not a particularly bad learning experience but you have to be ready for it.;Recommended;317;134.4;
;sda;Recommended;3;72.8;
;mto bm;Recommended;5;622.0;
;♥♥♥♥♥♥ GAME;Not Recommended;10;386.9;
;cool;Recommended;4;73.6;
;add sig cooldowns and add sex;Recommended;24;128.1;
;i ♥♥♥♥♥♥♥ hate this game (i will continue to play);Recommended;41;63.5;
;very fun game for families;Recommended;22;11.2;
;gogogahahahhaha;Recommended;15;39.4;
;don't do it. you'll sell your soul if you like fighting games.;Not Recommended;51;630.0;
;smash bro if it was fun;Recommended;18;7.2;
;from my experience of playing brawlhalla it is real fun like for example the combat is like that of smash bros melee;Recommended;95;2.8;
;edd;Recommended;3;110.8;
;no;Not Recommended;2;32.7;
;perfect if you hate yourself and want punishment 10/10;Not Recommended;46;824.0;
;quem joga isso é maluco;Not Recommended;19;9.5;
;jh;Recommended;2;535.2;
;do not play this game;Recommended;17;44.7;
;its decent icl;Recommended;12;791.5;
;game lags for no reason at all idk why such a simple game doesnt run well but other bigger games dont have a problem;Not Recommended;93;424.6;
;very fun to play with friends, i have a love hate relationship with this game... i love the fact they added cross progression and cross play between all devices, makes the game way more enjoyable and convenient for the players. the things i DONT like is that the game is so damn boring without the full version, you only get 9 characters to play from but with the full version you get around 60 and the dlc characters are way better than the base ones so its pay to win in a way. also the crossover legends are very expensive if you buy a lot of them. some of the maps are absolute ass because they're trap dependent so all you have to do is spam the traps on that map and you win. last thing i want to point out is that this game is VERY meta based and VERY competitive so if you aren't into that than this game isn't what you're looking for.;Recommended;678;11.7;
;yes;Recommended;3;10.8;
;fun, better have good internet tho;Recommended;29;4.9;
;"Rage, Addictive, Ranked would make you go insane.Advice #1:-- If you read the name ""Loki"" and you're in low rank, ALT+F4";Recommended;100;106.4;
;RAAAAAAAAAHHHHHHHHHHHHHHHHH;Recommended;27;803.7;
;yes no yada yada bing bang bome garm karm challenge yeah yeah random stuff anyways ya lol;Recommended;73;9.8;
;♥♥♥♥♥ game;Not Recommended;9;2.1;
;smash bros;Recommended;9;3.6;
;You Should Try It Out Has many Collabs Hope U Enjoyed;Recommended;43;6.8;
;Brother you will never reach nirvana I mean moksh (search it in goggle )...you will only feel eternal pain and despair as you reach gold to platinum....almost everybody you play against is a toxic spammer or a guy who hasn't seen daylight for the past seven years . So don't play it.Trust me brother, Otherwise you will always live in never ending regret of never being good enough.;Not Recommended;315;455.2;
;Please reward this comment. I still have 3000 points left to buy those slut avatars and backgrounds. Give me thumbs up, and you will grow 3cm. Reward this and you will grow 30cm..⠄⠄⣿⣿⣿⣿⠘⡿⢛⣿⣿⣿⣿⣿⣧⢻⣿⣿⠃⠸⣿⣿⣿⠄⠄⠄⠄⠄⠄⠄⣿⣿⣿⣿⢀⠼⣛⣛⣭⢭⣟⣛⣛⣛⠿⠿⢆⡠⢿⣿⣿⠄⠄⠄⠄⠄⠄⠄⠸⣿⣿⢣⢶⣟⣿⣖⣿⣷⣻⣮⡿⣽⣿⣻⣖⣶⣤⣭⡉⠄⠄⠄⠄⠄⠄⠄⠄⢹⠣⣛⣣⣭⣭⣭⣁⡛⠻⢽⣿⣿⣿⣿⢻⣿⣿⣿⣽⡧⡄⠄⠄⠄⠄⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣶⣌⡛⢿⣽⢘⣿⣷⣿⡻⠏⣛⣀⠄⠄⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⠙⡅⣿⠚⣡⣴⣿⣿⣿⡆⠄⠄⠄⣰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⠄⣱⣾⣿⣿⣿⣿⣿⣿⠄⠄⢀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⠄⠄⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠣⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠛⠑⣿⣮⣝⣛⠿⠿⣿⣿⣿⣿⠄⢠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⠄⠄⠄⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⠄;Recommended;455;1.6;
;goated;Recommended;6;10.2;
;cool game;Recommended;8;0.9;
;if you have got friends then this game is enjoyable or else your getting siged spammed;Not Recommended;71;386.2;
;Too many sig spammers!!!!!!! EVERY GAME I PLAY THEY PICK OP CHARACTERS they pick charcters like bovar and orion. NOt fair wouldnt play again and i dont like people who do it. they are basically cheting;Not Recommended;166;146.7;
;♥♥♥♥ game with axe ♥♥♥;Recommended;18;40.0;
;Plat is not worth it;Not Recommended;16;292.3;
;miserable;Not Recommended;9;142.0;
;this game is horribly unbalanced and its ruining my life as badly as overwatch 2 did;Not Recommended;69;101.0;
;اقسم بالله اني متخلف مره ثانيه;Not Recommended;25;92.5;
;great with friends but one friends keeps winning all the time;Recommended;51;133.8;
;Armas muy desbalanceadas, mucha hitbox fantasma, personajes con signatures donde basicamente no sabes donde debes pegar para interrumpirlo, solo es para pasar el rato este juego;Not Recommended;152;1310.3;
;megaman;Recommended;7;171.4;
;it would make you pull your hair out. learning new combos and what not;Not Recommended;57;578.1;
;never get this game dud;Recommended;19;83.5;
;I love Tezca :);Recommended;12;295.7;
;Very fun and is enjoyable some toxic players but not many, also great foe kids.;Recommended;65;568.7;
;never broke so many things on a game and come back again so many times;Recommended;56;810.4;
;This Game Unlocked Anger Issues I Didn't Even Know I Had. Crazy;Not Recommended;52;0.7;
;anyonne wanna play;Recommended;16;322.9;
;♥♥♥♥ game;Not Recommended;8;7.0;
;im so tired i want to be let go but i can never be free from brawlhalla at this pointi've spent so much time and for what1700?;Not Recommended;100;545.6;
;dont play ranked;Not Recommended;14;179.4;
;peakhalla;Recommended;9;34.1;
;♥♥♥♥ your game lags;Not Recommended;16;187.5;
;This game almost made me kill my self but jumping into the lion pits at my nearest Zoo;Recommended;69;106.1;
;it works very well. It can get laggy but overall it's a great game.;Recommended;54;104.0;
;Great Game;Recommended;9;82.6;
;It ok;Recommended;4;4.0;
;Good o(￣▽￣)ｄ;Recommended;11;564.0;
;Istg both war thunder and valorant is more worth grinding. 2v2 is hell. Either the enemy are spamming thinking they are the next sandstorm or the teammate plays somehow worse than my mobile gameplay. Unranked mmo sucks its always two or one rank above my actual rank. Ranked might have been fun but just playing ranked being stuck aint fun. L matchmaking system, had more fun playing against extreme bots in offline mode.;Not Recommended;349;408.7;
;Honestly not too bad but the way balancing is handled is by buffing whatever weakest thing currently is without nerfing anything else which over time made game more and more frustrating against basically everything.;Recommended;182;1680.1;
;ts so ass i want my money back and its free;Not Recommended;33;13.5;
;it god;Recommended;5;28.1;
;game kinda mid ngl;Not Recommended;15;1198.7;
;the rock vs spongebob do I have to say more?;Recommended;35;19.4;
;"I do not like playing this game most of the time. It has its moments, but it's just not that good. The amount of crossovers and grindiness for each character is extremely annoying. I somewhat understand drip-feeding new characters/fighters to the player, but as someone who only plays this game occasionally, and I'm not very good at it, I know that I will not unlock most characters ever unless I empty my wallet for it. The characters are all somewhat balanced, but what if I want to try a different playstyle? And also, there are some characters that are much stronger than others.The fighting isn't bad but it has a couple things that are extremely overpowered. I've never been the type who likes fighting games, but this one just isn't it, either.At the end of the day, if you want a fighting game that is quick and free, then get this and try it out. But I'm not going to sink hundreds of hours into a game that I don't enjoy to unlock a few new characters.Tl;dr: Unless you want to sink a lot of time into this game, or just really like fighting games, don't bother. To get new characters with different mechanics besides the first few that are already unlocked, you have to either play a TON or pay. Fighting doesn't feel the best and the game is hard to get into, unless you are really good at fighting games. And if you are good at fighting games, then there are much better ones out there.";Not Recommended;1143;5.3;
;DO NOT PLAY THIS GAME SAVE YOUR SELF DONT PLAY THIS!!!!!;Recommended;46;351.3;
;i love this game;Recommended;13;667.0;
;this game has done horrible to my mental, 10/10;Recommended;39;35.7;
;gioiood;Recommended;7;83.9;
;addicting;Recommended;9;1032.3;
;Sí, son buenos;Recommended;12;4.8;
;Free, Fun;Recommended;8;16.5;
;I HATE THIS GAME;Not Recommended;13;1.4;
;Great Party Game To Play With Friends;Recommended;31;5.9;
;its really goodi trully recomand it;Recommended;30;96.8;
;break ♥♥♥♥, in game and irl;Recommended;22;310.9;
;its alright;Recommended;10;270.4;
;tsz;Recommended;3;66.7;
;just get a switch and play smash. this game is cool tho id recommend;Recommended;55;21.8;
;very fun fighting game once you learn the basics, went an all nighter once playing just this game;Recommended;80;41.3;
;eh mid;Not Recommended;5;20.6;
;Blood pressure constantly over 200;Recommended;30;532.2;
;best free to play game;Recommended;18;844.7;
;lance hom;Recommended;8;117.9;
;Devs seem to only care about EU n NA players;Not Recommended;35;385.1;
;Fun but really hard really easy to rage at too, and suggest playing with friends first.;Recommended;72;4.0;
;игра для ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥;Not Recommended;25;2.4;
;respect;Recommended;7;196.1;
;I cannot recommend this to anyone anymore. The stupid ♥♥♥♥♥♥♥ decisions with newer characters and their sigs have been awful, essentially creating more queen Nais and Diana types. I used to enjoy this so much but this is the last time they put a franchise near and dear to my heart on an infuriating character. The playerbase is too toxic to overlook, the spam is ridiculous, I can't even enjoy playing casually anymore because of how braindead it gets. I just ♥♥♥♥♥♥♥ can't. I CAN'T DO IT ANYMORE. I WANT THE 700+ HOURS OF MY LIFE SPENT BACK.;Not Recommended;446;734.1;
;NICE GAME 3ASBA;Recommended;13;490.6;
;this is toxic game wtfThere are A lot of spamer;Recommended;38;170.9;
;.;Recommended;1;70.5;
;i play on my switch and use this account for account linking the game is fun;Recommended;61;5.4;
;♥♥♥♥♥♥;Recommended;6;3.6;
;i use to call this game a smash bros clone all the time.....and well that hasn't changed... but its hard to deny that the game over time has became its own little package with some ideas for this genre that i really enjoy, for example. weapon throwing is almost crucial in this game and gives players another tool in the belt rather as a quick defense or a short attack to gain frame advantage. i think this is really cool and can feel awesome to pull off, almost as awesome as platform spawning. this mechanic is probably my favorite letting you create ground no matter where you are in the air, this adds so much air control to the combat being able to choose between basic air attacks and ground attacks in the air on the fly.It should also be said that the items that can drop randomly throughout the match are super fun too never feeling to one sided when someone gets one. i lastly wanna state that the speed of this game is unmatched by other platform fighters frequently feeling like a DBZ fight the way fighters flicker around the stage. all in all brawlhalla isn't a bad game is what i wanna say, it can seriously get you hyped up and having fun and that for sure stands true when playing with a buddy but i feel that brawlhalla when pitted against its other counter parts does not have enough staying power to truly stick with you the way i feel smash bros or even brawl stars 2 can with the much snappier attacks and movement, better dodging, grabs, and unique fighters with their own move sets (brawlhalla characters share weapons between each other meaning if you can learn sword combos then you can use any sword character with no changes in moves other than special abilitys). im sure i am just overthinking this free game but brawlhalla gives me alot of mixed signals its fun but its missing something 5/10;Recommended;1490;145.7;
;its ok.;Recommended;6;970.9;
;Really cool game. If you are not having fun watch some tutorials.;Recommended;54;17.6;
;gg;Recommended;2;51.5;
;brawlhalla;Recommended;10;9.7;
;smash bros but on steam;Recommended;19;32.3;
;F;Recommended;1;8.5;
;Game good :);Recommended;10;22.7;
;la gente q juega esto es ridicula, no hay mucho mas que decir;Not Recommended;49;93.2;
;good game;Recommended;8;7.4;
;idc what other ppl say this is WAY better than ssb;Recommended;40;143.7;
;because of their garbage anti cheat my computer just keeps blue screening when i try and opening the game;Not Recommended;87;2.1;
;smelly people L game play smash bros;Not Recommended;30;101.0;
;dodging is useless and the game feels slow and sluggish;Not Recommended;46;152.5;
;nice game;Recommended;8;39.4;
;Ass;Not Recommended;3;195.9;
;good;Recommended;4;13.3;
;I have an addiction;Recommended;16;379.9;
;its cool. i played it in school break lol;Recommended;33;26.8;
;brainrot game;Not Recommended;12;44.2;
;Fun multiplayer game highly recommended;Recommended;35;4.6;
;This game may be free but every time I launch it, it takes a small portion of my soul.9/10;Recommended;72;83.5;
;how to make urself mentally unstable:;Not Recommended;32;39.3;
;disgusting ♥♥♥♥♥♥♥ game never play it;Recommended;32;491.3;
;honestly the worst ♥♥♥♥♥♥♥ game i have ever played these ♥♥♥♥♥♥♥ tryhards just come and destroy me im done this game aklijhdadwuyldgbuyaewduawqduyuasvyufdueuwyfduyewgfduyikEWfuykesrfguewyrfgeuasgfeuqyageuawq6ygfuayegfvuawygfuyawgfuy;Not Recommended;211;191.2;
;GAME GOBLOK UNMAX SENDIRI;Not Recommended;22;2.1;
;toxic kid;Not Recommended;8;10.1;
;nice;Recommended;4;41.6;
;Incredible;Recommended;10;58.0;
;Super addictive trash game!!;Recommended;25;1685.0;
;add 3v3 ranked permanently and my soul is yours;Recommended;39;113.1;
;i hate adrian for taught me this game;Not Recommended;30;105.3;
;.;Not Recommended;1;834.9;
;Good;Recommended;4;25.1;
;extremely fun game once you get the hang of dodge predicts , only problem with the game in my opinion is the ranked matchmaking, i am stuggling to get diamond because i am platinum and i get mostly diamond players so its hard to beat someone who is 1 rank higher than you.;Recommended;220;38.6;
;game kontol;Not Recommended;10;184.3;
;fun asl;Recommended;6;20.9;
;This game is filled with spammers and sweats, not worth learning how to be good.;Not Recommended;66;13.8;
;nice game;Recommended;8;458.9;
;its alright;Recommended;10;309.6;
;Game amde me mad;Not Recommended;13;247.5;
;Off brand super smash bros goes hard.;Recommended;31;30.9;
;bad game;Recommended;7;1247.5;
;:(;Recommended;2;345.1;
;YES;Recommended;3;18.5;
;i have been playing this game across multiple accounts and platforms since open beta. never have i ever seen a game fall so hard on its own ass after years of success before. the only people who play this are no life sweats who take it way too seriously, and ♥♥♥♥♥♥♥♥ who let the game suck them off by spamming with the op characters because the devs are too greedy and stupid to administer any balancing at all. and i should know because ive been both. no more. all i see are new characters that break the game and cheap cash grabs for extra dough through shameless fortnite behaviour. this game used to mean something, now its trash.;Not Recommended;518;149.6;
;Chill lil fighter game;Recommended;19;346.8;
;I like the second half of the album but the first half is way too expiremental and I didn't like it that much.;Recommended;88;0.3;
;phones destroyed my ass;Not Recommended;20;50.7;
;Awesome !;Recommended;8;7.5;
;only (not smash) platform fighter that succeeded by doing it's own thing. noice.;Recommended;68;66.0;
;sub 2 PavelskiBH on youtube;Recommended;23;60.0;
;dropkicked a poor innocent being;Recommended;28;58.3;
;if you want some ♥♥♥♥ to crash out to after having a ♥♥♥♥♥♥ day and want to actually get mad sure. If you're friend tells you they are kinda bad at this game don't ♥♥♥♥ trust them and always be ready to face one of the top 10 players when you gotta rank up from gold.... good luck my guy/girl;Recommended;233;315.9;
;"No game that can make me so rage than this game. i prefer go League of Legends with Stupid randoms and Lose everyday than play this game with spammers and ""template"" fighter lol.. definitely not worth it man.Some characters are build for sig spamming and overpowered sig move...feels like choking when u can't even move for 10 games in a row with people spamming their sig move with ++ range attack like, how the ♥♥♥♥ am i suppose to do to win and counter that mf.... xD";Not Recommended;384;78.8;
;if you want to destroy some keyboards or consoles donwload this game;Recommended;57;1144.8;
;black people game;Not Recommended;15;64.6;
;yes.;Recommended;4;7.0;
;mid;Not Recommended;3;134.6;
;good for learning fighting skills with feints, distancing, and timing. Hard for new players lots of people that play like its the finale of a professional match but overall fun;Recommended;147;100.0;
;spammers;Not Recommended;8;57.3;
;nice;Recommended;4;1.9;
;killed my friend bcs of it;Not Recommended;21;6.2;
;i wanna cry;Recommended;9;78.7;
;---{ Graphics }---☐ You forget what reality is☐ Beautiful☑ Good☐ Decent☐ Bad☐ Don‘t look too long at it☐ MS-DOS---{ Gameplay }---☐ Very good☑ Good☐ It's just gameplay☐ Mehh☐ Watch paint dry instead☐ Just don't---{ Audio }---☐ Eargasm☐ Very good☑ Good☐ Not too bad☐ Bad☐ I'm now deaf---{ Audience }---☑ Kids☐ Teens☐ Adults☐ Grandma---{ PC Requirements }---☐ Check if you can run paint☐ Potato☑ Decent☐ Fast☐ Rich boi☐ Ask NASA if they have a spare computer---{ Difficulty }---☐ Just press 'W'☐ Easy☑ Easy to learn / Hard to master☐ Significant brain usage☐ Difficult☐ Dark Souls---{ Grind }---☐ Nothing to grind☑ Only if u care about leaderboards/ranks☐ Isn't necessary to progress☐ Average grind level☐ Too much grind☐ You'll need a second life for grinding---{ Story }---☐ No Story☐ Some lore☐ Average☑ Good☐ Lovely☐ It'll replace your life---{ Game Time }---☐ Long enough for a cup of coffee☐ Short☑ Average☐ Long☐ To infinity and beyond---{ Price }---☑ It's free!☐ Worth the price☐ If it's on sale☐ If u have some spare money left☐ Not recommended☐ You could also just burn your money---{ Bugs }---☐ Never heard of☑ Minor bugs☐ Can get annoying☐ ARK: Survival Evolved☐ The game itself is a big terrarium for bugs---{ ? / 10 }---☐ 1☐ 2☐ 3☐ 4☐ 5☐ 6☑ 7☐ 8☐ 9☐ 10;Recommended;1048;5.6;
;Ubisoft fighting game.10/10;Recommended;25;28.7;
;SOOOOOO bad;Not Recommended;10;6.8;
;DUM;Not Recommended;3;653.1;
;Y e s;Recommended;3;801.4;
;my honsest reaction seeing two pro league, wu shang and mordex players while loading into a ranked game in silver 3;Not Recommended;95;40.3;
;ע;Recommended;1;8.4;
;this game is so ♥♥♥♥ please no one play this;Not Recommended;35;0.7;
;.;Recommended;1;5.1;
;dont;Not Recommended;4;155.0;
;good game;Recommended;8;349.3;
;fun;Recommended;3;48.3;
;"Unbalanced Spamfest, 90% of the matches you meet are just lance/scythe spammers It's fun when you're constantly not being matched with players that learned all of their playstyle from ""HOW TO BE GOOD IN BRAWLHALLA 2024""";Not Recommended;184;94.4;
;this game makes me unbelievably anger but i cant stop playing 10/10;Recommended;56;233.0;
;This is the worst game ive ever played;Not Recommended;31;174.9;
;♥♥♥♥♥♥♥;Not Recommended;7;98.0;
;Good as a party game, bad as a competitive fighting game. There are many other, better fighting games you could play if you are trying to be competitive.Overall, stay away from ranked, it's not worth it.;Recommended;168;517.0;
;WORST GAME ON THIS PLANET, FR;Not Recommended;24;0.3;
;Good Gme;Recommended;7;18.2;
;game;Not Recommended;4;85.5;
;It would be a good game, but the servers and overall performance are just awfully optomized. It's literally a flash game, no I'm not exaggerating, and yet they still manage to make it this awful. Unless you have an ethernet cable and nasa pc, I wouldn't recommend. The lag and rollback is awful and there is an extreme stuttering issue.I might change my review if they finally fix this.;Not Recommended;318;145.7;
;oh yeah;Recommended;6;105.8;
;i hate this game so much;Not Recommended;19;81.3;
;valid. I spam a lot;Recommended;15;12.9;
;♥♥♥♥*;Not Recommended;5;397.9;
;very good;Recommended;8;2.3;
;Classic;Recommended;7;196.2;
;bro why the furries.;Not Recommended;17;5.3;
;.;Recommended;1;117.9;
;You can do some bad*** s*** in this game. I have fond memories of grinding away on my xbox controller, trying to read someone's crazy tech after I found the code to the beta in a Lootcrate. It's a pretty well balanced platform fighter, and if you put time into it, it can be very fun.;Recommended;229;511.2;
;I picked up the game because of the Mega Man crossover and played a tiny bit with a random character and had a decent time. The controls felt a bit weird (I'd rebind them if I play more), and half the time it felt like I had no idea what I was doing (which is fair since I just started playing).Not a fan of crossover characters costing so much- 400 of the premium currency doesn't sound too bad until you realize there's no good way to get exactly 400- you'd need both the cheapest $6 pack and the next $13 pack to have enough, or just simply get the $20 pack since that will give you slightly more. Spending $20 on one character (which is technically a skin with new sound effects) is kind of crazy if you ask me. I was excited to try the game during the crossover but seeing that sort of pricing is making me wanna steer clear admittedly.;Not Recommended;679;0.4;
;one of the best fighting games to play of the decade;Recommended;42;376.5;
;game gets a hawk 2/10;Not Recommended;17;46.9;
;Very nice i get combo by my own teamates and get apsolutely destroyed by teros;Recommended;64;42.6;
;simply amazing;Recommended;13;859.2;
;b;Recommended;1;4.8;
;Good movement, large roster, constant updates. Fun game.;Recommended;49;3270.5;
;JUST PLAT IT;Recommended;10;20.3;
;"Take it from me; this game is at least 20% cooler than it already is with mods.";Recommended;63;340.1;
;i want to die CUZ I AM STILL GOLD;Recommended;25;245.9;
;it is a good game :);Recommended;15;22.9;
;فقلق;Recommended;4;56.6;
;it gud;Recommended;5;11.9;
;please do not play if you are not going to actually play and learn the game and just sig spam the entire time, sig spamming is when a person mashes either the B button or K on keyboard or circle on playstation.;Recommended;169;597.1;
;i hate it;Not Recommended;7;104.1;
;its fun with friends;Recommended;17;9.5;
;good;Recommended;4;238.3;
;coolo game;Recommended;9;39.4;
;i like it :)));Recommended;11;455.0;
;FIRST COMMENT ON MY ACCOUNT YO AND GOTTA TELL YA THIS GAME IS THE JAM.. DOWNLOAD IT WITH NO HESITAION.. AND GIFT ME SOME POINTS YO;Recommended;105;223.2;
;yk what, this game truly is a masterpiece in its own right..... however the balancing isnt the devs are low key retarded. they just take coin flips for the stats and the hitboxes are some 3yo with all colours and a blank canvas.also ranked makes you mad.perfect game;Recommended;219;29.7;
;this game ruined my life;Not Recommended;20;125.6;
;the game was only good for 98.9 hours 👎;Not Recommended;31;98.9;
;terrible.;Not Recommended;9;40.9;
;good;Recommended;4;788.3;
;por que diablazo si yo juego una vez al año no se jugar tanto y no tengo el tiempo invertido ni el nivel como otras personas me ponen con personas de nivel diamante?;Not Recommended;133;429.3;
